№,Бренд,Полное наименование товара,Товарный знак,ТН ВЭД ЕАЭС,ОКПД2,Страна производства,Вид кофе,"Масса нетто, г",Вид упаковки,Состав,Степень обжарки,Регион происхождения,Дескрипторы,Декларация о соответствии
1,RED,R.E.D. 5,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Бразилия,"Шоколад, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
2,RED,R.E.D. 6,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Бразилия / Вьетнам,"Какао, тёмный шоколад, табак",ЕАЭС N RU Д-RU.РА05.В.79559/24
3,RED,R.E.D. 6 RED NEW,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Тёмная,Бразилия / Вьетнам,"Шоколад, фрукты",ЕАЭС N RU Д-RU.РА05.В.79559/24
4,RED,R.E.D. 7 (100% Arabica),R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,100% Арабика,Тёмная,Вьетнам Далат,"Тёмный шоколад, карамель, специи",ЕАЭС N RU Д-RU.РА05.В.79559/24
5,RED,R.E.D. 9,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Тёмная,Бразилия / Вьетнам,"Орехи, шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
6,RED,R.E.D. 10,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Бразилия / Эфиопия,"Цитрус, орехи, шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
7,RED,R.E.D. 20,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Гондурас / Эфиопия,"Сухофрукты, выпечка, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
8,RED,R.E.D. 21,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Бразилия / Эфиопия,"Цветы, яблоко, шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
9,RED,R.E.D. 27,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Эфиопия,"Сухофрукты, шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
10,RED,R.E.D. 27 (100% Arabica),R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,100% Арабика,Средняя,Эфиопия,"Брусника, кешью, молочный шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
11,RED,R.E.D. 32,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Бразилия / Вьетнам,"Кедровый орех, ягоды, карамель",ЕАЭС N RU Д-RU.РА05.В.79559/24
12,RED,R.E.D. 33,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Тёмная,Гондурас,"Молочный шоколад, орехи, ягоды",ЕАЭС N RU Д-RU.РА05.В.79559/24
13,RED,R.E.D. 36,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Перу,"Тёмный виноград, цитрусы, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
14,RED,R.E.D. 66,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Тёмная,Бразилия / Вьетнам,"Грецкий орех, тёмный шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
15,RED,R.E.D. 73,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Средняя,Бразилия / Вьетнам,"Сухофрукты, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
16,RED,R.E.D. 82,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Тёмная,Бразилия / Колумбия,"Чернослив, шоколад",ЕАЭС N RU Д-RU.РА05.В.79559/24
17,RED,Italian Blend,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,"Арабика, Робуста",Тёмная,Бразилия / Вьетнам,"Грейпфрут, тёмный шоколад, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
18,RED,R.E.D. Kenya 100% Arabica,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,100% Арабика,Светлая,Кения,"Цитрусы, карамель, вишня",ЕАЭС N RU Д-RU.РА05.В.79559/24
19,RED,Kenya Trabocca Washed,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно,1000,Пакет,100% Арабика,Средняя,Кения,"Сухофрукты, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
20,RED,R.E.D. Мексика Фильтр,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно (для фильтра),1000,Пакет,"Арабика, Робуста",Светлая,Мексика,"Цитрусовая цедра, жасмин, зелёный виноград",ЕАЭС N RU Д-RU.РА05.В.79559/24
21,RED,R.E.D. Мексика Эспрессо,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Зерно (для эспрессо),1000,Пакет,"Арабика, Робуста",Средняя,Мексика,"Цитрусы, орехи",ЕАЭС N RU Д-RU.РА05.В.79559/24
22,DRIP,Дрип пакеты кофе Бразилия Cerrado,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Молотый,11,Дрип-пакет,Бразилия,Средняя,Бразилия,Шоколад / Орехи,ЕАЭС N RU Д-RU.РА05.В.79559/24
23,DRIP,Дрип пакеты кофе Кения,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Молотый,11,Дрип-пакет,Кения,Средняя,Кения,Ягоды / Сухофрукты,ЕАЭС N RU Д-RU.РА05.В.79559/24
24,DRIP,Дрип пакеты кофе Индонезия,R.E.D.,0901210000,10.83.11.110,РОССИЯ,Молотый,11,Дрип-пакет,Индонезия / Бразилия,Средняя,Индонезия / Бразилия,Тропики / Шоколад / Фрукты,ЕАЭС N RU Д-RU.РА05.В.79559/24
