ЖУРНАЛ НАСТРОЕК ВКУСА — ПОМОЛ И ДОЗИРОВКА,,,,,,,,,
,,,,,,,,,
ДАТА,.05.2026,,,,,,,,
,,,,,,,,,
№,МОДЕЛЬ,МЕТКА,ПОМОЛ (1-10),ДОЗИРОВКА (г),ТЕМПЕРАТУРА (°C),ОБЪЁМ ВОДЫ (мл),ОЦЕНКА ВКУСА (1-5),ПРИМЕЧАНИЯ
1,M12,,5,12,92,40,,,
2,M12,,5,12,92,40,,,
3,M12,,5,12,92,40,,,
4,M12,,5,12,92,40,,,
5,M12,,5,12,92,40,,,
6,M12,,5,12,92,40,,,
7,M12,,5,12,92,40,,,
8,M12,,5,12,92,40,,,
9,M12,,5,12,92,40,,,
10,M12,,5,12,92,40,,,
11,M12,,5,12,92,40,,,
12,M12,,5,12,92,40,,,
13,Minibar S-2,,5,12,92,40,,,
14,Minibar S-2,,5,12,92,40,,,
,,,,,,,,,
ШКАЛА ПОМОЛА (Dr.Coffee):,,,,,,,,,
"1-3 — мелкий (медленная экстракция, горький)",,,,,,,,,
"4-6 — средний (баланс)",,,,,,,,,
"7-10 — крупный (быстрая экстракция, кислый)",,,,,,,,,
,,,,,,,,,
"БАЗОВЫЕ РЕКОМЕНДАЦИИ: эспрессо ~12г кофе / 35-40мл / 25-30 сек / 92°C",,,,,,,,,
"ЕСЛИ ГОРЬКО: уменьшить дозировку ИЛИ увеличить помол (крупнее) ИЛИ снизить температуру",,,,,,,,,
"ЕСЛИ КИСЛО: увеличить дозировку ИЛИ уменьшить помол (мельче) ИЛИ повысить температуру",,,,,,,,,
